,home,away,home_points,away_points
0,Indiana Pacers,Orlando Magic,97,87
1,Miami Heat,Chicago Bulls,107,95
2,Los Angeles Lakers,Los Angeles Clippers,116,103
3,Cleveland Cavaliers,Brooklyn Nets,98,94
4,Philadelphia 76ers,Miami Heat,114,110
5,Toronto Raptors,Boston Celtics,93,87
6,Detroit Pistons,Washington Wizards,113,102
7,New York Knicks,Milwaukee Bucks,90,83
8,Houston Rockets,Charlotte Bobcats,96,83
9,Minnesota Timberwolves,Orlando Magic,120,115
10,Indiana Pacers,New Orleans Pelicans,95,90
11,Dallas Mavericks,Atlanta Hawks,118,109
12,San Antonio Spurs,Memphis Grizzlies,101,94
13,Oklahoma City Thunder,Utah Jazz,101,98
14,Phoenix Suns,Portland Trail Blazers,104,91
15,Sacramento Kings,Denver Nuggets,90,88
16,Golden State Warriors,Los Angeles Lakers,125,94
17,Chicago Bulls,New York Knicks,82,81
18,Los Angeles Clippers,Golden State Warriors,126,115
19,Charlotte Bobcats,Cleveland Cavaliers,90,84
20,Orlando Magic,New Orleans Pelicans,110,90
21,Philadelphia 76ers,Washington Wizards,109,102
22,Atlanta Hawks,Toronto Raptors,102,95
23,Milwaukee Bucks,Boston Celtics,105,98
24,Houston Rockets,Dallas Mavericks,113,105
25,Memphis Grizzlies,Detroit Pistons,111,108
26,Minnesota Timberwolves,Oklahoma City Thunder,100,81
27,Brooklyn Nets,Miami Heat,101,100
28,Portland Trail Blazers,Denver Nuggets,113,98
29,Phoenix Suns,Utah Jazz,87,84
30,Los Angeles Clippers,Sacramento Kings,110,101
31,San Antonio Spurs,Los Angeles Lakers,91,85
32,Indiana Pacers,Cleveland Cavaliers,89,74
33,Philadelphia 76ers,Chicago Bulls,107,104
34,New Orleans Pelicans,Charlotte Bobcats,105,84
35,Dallas Mavericks,Memphis Grizzlies,111,99
36,Toronto Raptors,Milwaukee Bucks,97,90
37,Houston Rockets,Utah Jazz,104,93
38,Portland Trail Blazers,San Antonio Spurs,115,105
39,Golden State Warriors,Sacramento Kings,98,87
40,Detroit Pistons,Boston Celtics,87,77
41,Miami Heat,Washington Wizards,103,93
42,Orlando Magic,Brooklyn Nets,107,86
43,Oklahoma City Thunder,Phoenix Suns,103,96
44,Minnesota Timberwolves,New York Knicks,109,100
45,Los Angeles Lakers,Atlanta Hawks,105,103
46,Cleveland Cavaliers,Minnesota Timberwolves,93,92
47,Golden State Warriors,Philadelphia 76ers,110,90
48,Memphis Grizzlies,Boston Celtics,95,88
49,Los Angeles Clippers,Houston Rockets,137,118
50,Miami Heat,Toronto Raptors,104,95
51,Brooklyn Nets,Utah Jazz,104,88
52,Indiana Pacers,Detroit Pistons,99,91
53,Charlotte Bobcats,New York Knicks,102,97
54,Phoenix Suns,New Orleans Pelicans,104,98
55,Dallas Mavericks,Los Angeles Lakers,123,104
56,San Antonio Spurs,Denver Nuggets,102,94
57,Houston Rockets,Portland Trail Blazers,116,101
58,Atlanta Hawks,Sacramento Kings,105,100
59,Charlotte Bobcats,Toronto Raptors,92,90
60,Indiana Pacers,Chicago Bulls,97,80
61,Orlando Magic,Los Angeles Clippers,98,90
62,Washington Wizards,Philadelphia 76ers,116,102
63,Boston Celtics,Utah Jazz,97,87
64,New Orleans Pelicans,Memphis Grizzlies,99,84
65,Milwaukee Bucks,Cleveland Cavaliers,109,104
66,Golden State Warriors,Minnesota Timberwolves,106,93
67,San Antonio Spurs,Phoenix Suns,99,96
68,Oklahoma City Thunder,Dallas Mavericks,107,93
69,Miami Heat,Los Angeles Clippers,102,97
70,Denver Nuggets,Atlanta Hawks,109,107
71,Los Angeles Lakers,Houston Rockets,99,98
72,New York Knicks,Charlotte Bobcats,101,91
73,Indiana Pacers,Toronto Raptors,91,84
74,Boston Celtics,Orlando Magic,91,89
75,Philadelphia 76ers,Cleveland Cavaliers,94,79
76,Washington Wizards,Brooklyn Nets,112,108
77,Oklahoma City Thunder,Detroit Pistons,119,110
78,Chicago Bulls,Utah Jazz,97,73
79,Minnesota Timberwolves,Dallas Mavericks,116,108
80,New Orleans Pelicans,Los Angeles Lakers,96,85
81,San Antonio Spurs,Golden State Warriors,76,74
82,Phoenix Suns,Denver Nuggets,114,103
83,Portland Trail Blazers,Sacramento Kings,104,91
84,Toronto Raptors,Utah Jazz,115,91
85,Atlanta Hawks,Orlando Magic,104,94
86,Indiana Pacers,Brooklyn Nets,96,91
87,Cleveland Cavaliers,Philadelphia 76ers,127,125
88,Boston Celtics,Miami Heat,111,110
89,Los Angeles Clippers,Houston Rockets,107,94
90,Memphis Grizzlies,Golden State Warriors,108,90
91,Dallas Mavericks,Milwaukee Bucks,91,83
92,Portland Trail Blazers,Sacramento Kings,96,85
93,San Antonio Spurs,New York Knicks,120,89
94,Oklahoma City Thunder,Washington Wizards,106,105
95,Phoenix Suns,New Orleans Pelicans,101,94
96,Minnesota Timberwolves,Los Angeles Lakers,113,90
97,Atlanta Hawks,Charlotte Bobcats,103,94
98,Indiana Pacers,Memphis Grizzlies,95,79
99,San Antonio Spurs,Philadelphia 76ers,109,85
100,Boston Celtics,Orlando Magic,120,105
101,Chicago Bulls,Cleveland Cavaliers,96,81
102,Houston Rockets,Toronto Raptors,110,104
103,Denver Nuggets,Utah Jazz,100,81
104,Portland Trail Blazers,Detroit Pistons,109,103
105,Los Angeles Clippers,Minnesota Timberwolves,109,107
106,Miami Heat,Milwaukee Bucks,118,95
107,Dallas Mavericks,Washington Wizards,105,95
108,Golden State Warriors,Detroit Pistons,113,95
109,Los Angeles Lakers,New Orleans Pelicans,116,95
110,Orlando Magic,Milwaukee Bucks,94,91
111,Philadelphia 76ers,Houston Rockets,123,117
112,Charlotte Bobcats,Boston Celtics,89,83
113,Toronto Raptors,Memphis Grizzlies,103,87
114,Minnesota Timberwolves,Cleveland Cavaliers,124,95
115,New York Knicks,Atlanta Hawks,95,91
116,San Antonio Spurs,Washington Wizards,92,79
117,Denver Nuggets,Los Angeles Lakers,111,99
118,Utah Jazz,New Orleans Pelicans,111,105
119,Portland Trail Blazers,Phoenix Suns,90,89
120,Sacramento Kings,Brooklyn Nets,107,86
