Date,Start Time,Away Team,Away Points,Home Team,Home Points,Overtime,Attendance
Oct 22 2019,8:00p,New Orleans Pelicans,122,Toronto Raptors,130,TRUE,20787
Oct 22 2019,10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,FALSE,19068
Oct 23 2019,7:00p,Chicago Bulls,125,Charlotte Hornets,126,FALSE,15424
Oct 23 2019,7:00p,Detroit Pistons,119,Indiana Pacers,110,FALSE,17923
Oct 23 2019,7:00p,Cleveland Cavaliers,85,Orlando Magic,94,FALSE,18,846
Oct 23 2019,7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,TRUE,17732
Oct 23 2019,7:30p,Memphis Grizzlies,101,Miami Heat,120,FALSE,19600
Oct 23 2019,7:30p,Boston Celtics,93,Philadelphia 76ers,107,FALSE,20422
Oct 23 2019,8:30p,Washington Wizards,100,Dallas Mavericks,108,FALSE,19816
Oct 23 2019,8:30p,New York Knicks,111,San Antonio Spurs,120,FALSE,18354
Oct 23 2019,9:00p,Oklahoma City Thunder,95,Utah Jazz,100,FALSE,18306
Oct 23 2019,10:00p,Sacramento Kings,95,Phoenix Suns,124,FALSE,18055
Oct 23 2019,10:00p,Denver Nuggets,108,Portland Trail Blazers,100,FALSE,19991
Oct 24 2019,7:00p,Atlanta Hawks,117,Detroit Pistons,100,FALSE,20338
Oct 24 2019,8:00p,Milwaukee Bucks,117,Houston Rockets,111,FALSE,18055
Oct 24 2019,10:30p,Los Angeles Clippers,141,Golden State Warriors,122,FALSE,18064
Oct 25 2019,7:00p,Toronto Raptors,106,Boston Celtics,112,FALSE,18624
Oct 25 2019,7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,FALSE,14879
Oct 25 2019,7:30p,New York Knicks,109,Brooklyn Nets,113,FALSE,17732
Oct 25 2019,8:00p,Chicago Bulls,110,Memphis Grizzlies,102,FALSE,17794
Oct 25 2019,8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,FALSE,17027
Oct 25 2019,8:00p,Washington Wizards,97,Oklahoma City Thunder,85,FALSE,18203
Oct 25 2019,9:00p,Phoenix Suns,107,Denver Nuggets,108,TRUE,19557
