game_id,team,player,minutes,FG,3P,FT,O,D,Reb,Ast,Stl,Blk,TO,PF,+/-,Pts
new_orleans_toronto_oct_22_19,Toronto Raptors,Pascal Siakam,38:09:00,11-26,2-5,10-11,6,12,18,5,0,1,4,6,5,34
new_orleans_toronto_oct_22_19,Toronto Raptors,Fred VanVleet,44:21:00,12-18,5-7,5-6,0,5,5,7,2,0,2,0,18,34
new_orleans_toronto_oct_22_19,Toronto Raptors,Kyle Lowry,44:59:00,4-15,3-11,11-13,1,4,5,6,2,0,4,4,-1,22
new_orleans_toronto_oct_22_19,Toronto Raptors,OG Anunoby,35:48:00,5-12,1-4,0-1,3,4,7,0,0,2,1,3,12,11
new_orleans_toronto_oct_22_19,Toronto Raptors,Marc Gasol,31:55:00,2-9,1-4,1-1,1,3,4,1,0,0,0,5,-2,6
new_orleans_toronto_oct_22_19,Toronto Raptors,Serge Ibaka,26:00:00,4-10,0-1,5-6,2,3,5,0,1,0,3,2,6,13
new_orleans_toronto_oct_22_19,Toronto Raptors,Norman Powell,28:38:00,2-7,1-5,0-0,1,7,8,2,0,0,2,2,2,5
new_orleans_toronto_oct_22_19,Toronto Raptors,Terence Davis,15:10:00,2-6,1-3,0-0,2,3,5,2,2,0,0,2,0,5
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Brandon Ingram,35:06:00,8-19,2-5,4-4,0,5,5,5,1,2,2,4,-19,22
new_orleans_toronto_oct_22_19,New Orleans Pelicans,J.J. Redick,27:03:00,6-9,4-6,0-0,0,2,2,1,0,0,3,3,-14,16
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Jrue Holiday,41:05:00,6-15,1-6,0-2,2,2,4,6,0,2,5,2,-14,13
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Lonzo Ball,24:50:00,2-7,2-3,2-2,0,5,5,5,0,0,1,2,-7,8
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Derrick Favors,20:46:00,3-6,0-0,0-0,1,6,7,2,0,1,1,5,-12,6
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Josh Hart,28:10:00,4-9,3-5,4-4,4,6,10,1,0,1,1,4,-1,15
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Nicolo Melli,19:37:00,5-7,4-5,0-0,2,3,5,2,0,0,2,1,11,14
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Frank Jackson,13:51:00,3-6,1-3,2-2,0,0,0,1,0,0,1,3,7,9
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Jahlil Okafor,12:29:00,3-3,0-0,2-3,2,0,2,0,0,1,1,3,-7,8
new_orleans_toronto_oct_22_19,New Orleans Pelicans,E'Twaun Moore,12:06:00,2-7,1-3,0-0,1,2,3,2,0,0,0,0,-1,5
new_orleans_toronto_oct_22_19,New Orleans Pelicans,Kenrich Williams,18:02:00,0-4,0-2,3-3,3,3,6,3,1,2,1,5,11,3
new_orleans_toronto_oct_22_19,New Orleans Pelicans,N. Alexander-Walker,11:55:00,1-10,1-7,0-0,1,3,4,2,2,0,1,2,6,3
toronto_boston_oct_25_19,Toronto Raptors,Pascal Siakam,35:41:00,11-22,5-7,6-6,2,6,8,2,0,0,5,2,-2,33
toronto_boston_oct_25_19,Toronto Raptors,Kyle Lowry,39:42:00,11-18,6-10,1-1,0,4,4,7,1,1,4,5,-7,29
toronto_boston_oct_25_19,Toronto Raptors,OG Anunoby,37:46:00,4-5,1-2,0-0,1,7,8,0,0,1,2,6,-4,9
toronto_boston_oct_25_19,Toronto Raptors,Fred VanVleet,41:47:00,2-11,2-5,2-2,1,4,5,6,1,1,4,4,-8,8
toronto_boston_oct_25_19,Toronto Raptors,Marc Gasol,25:12:00,0-8,0-4,1-2,1,4,5,5,0,0,3,2,3,1
toronto_boston_oct_25_19,Toronto Raptors,Serge Ibaka,24:14:00,5-5,1-1,2-4,0,8,8,1,0,3,2,3,-10,13
toronto_boston_oct_25_19,Toronto Raptors,Norman Powell,21:46:00,2-3,1-2,2-2,0,4,4,1,0,0,2,1,-2,7
toronto_boston_oct_25_19,Toronto Raptors,Terence Davis,8:51:00,1-4,1-3,0-0,0,2,2,0,0,0,0,3,1,3
toronto_boston_oct_25_19,Toronto Raptors,Stanley Johnson,5:01:00,1-2,1-2,0-0,0,2,2,0,0,0,1,2,-1,3
toronto_boston_oct_25_19,Boston Celtics,Jaylen Brown,38:04:00,11-20,2-7,1-1,0,9,9,4,0,2,1,2,2,25
toronto_boston_oct_25_19,Boston Celtics,Jayson Tatum,35:10:00,8-22,4-7,5-5,3,6,9,4,3,0,0,0,9,25
toronto_boston_oct_25_19,Boston Celtics,Kemba Walker,36:13:00,8-22,2-8,4-4,3,3,6,2,2,2,2,3,7,22
toronto_boston_oct_25_19,Boston Celtics,Gordon Hayward,36:54:00,5-12,3-4,2-2,3,5,8,2,0,0,3,2,9,15
toronto_boston_oct_25_19,Boston Celtics,Daniel Theis,14:59:00,0-7,0-1,1-2,3,3,6,1,0,2,0,3,3,1
toronto_boston_oct_25_19,Boston Celtics,Marcus Smart,28:06:00,4-11,2-7,0-0,0,1,1,3,1,0,0,1,-2,10
toronto_boston_oct_25_19,Boston Celtics,Robert Williams,14:39:00,3-3,0-0,0-0,2,4,6,1,2,1,1,4,-3,6
toronto_boston_oct_25_19,Boston Celtics,Grant Williams,21:53:00,2-9,0-3,0-0,6,1,7,4,1,0,1,3,5,4
toronto_boston_oct_25_19,Boston Celtics,Brad Wanamaker,9:38:00,1-3,0-1,2-2,1,2,3,0,1,1,1,2,0,4
toronto_boston_oct_25_19,Boston Celtics,Semi Ojeleye,4:20:00,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
toronto_boston_oct_25_19,Boston Celtics,Javonte Green,0:04:00,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
toronto_chicago_oct_26_19,Toronto Raptors,Pascal Siakam,28:05:00,7-15,1-5,4-4,1,5,6,4,1,0,4,5,22,19
toronto_chicago_oct_26_19,Toronto Raptors,OG Anunoby,25:32:00,7-11,3-6,0-0,2,4,6,2,1,4,1,1,25,17
toronto_chicago_oct_26_19,Toronto Raptors,Fred VanVleet,30:35:00,5-14,3-8,3-3,0,4,4,6,1,0,3,3,28,16
toronto_chicago_oct_26_19,Toronto Raptors,Kyle Lowry,34:25:00,4-11,3-9,0-0,0,7,7,8,1,1,2,2,6,11
toronto_chicago_oct_26_19,Toronto Raptors,Marc Gasol,23:10:00,1-2,1-1,2-2,2,8,10,2,0,1,0,2,26,5
toronto_chicago_oct_26_19,Toronto Raptors,Serge Ibaka,20:51:00,8-12,1-2,1-1,2,5,7,0,0,3,2,3,-4,18
toronto_chicago_oct_26_19,Toronto Raptors,Norman Powell,27:34:00,3-9,1-5,0-0,1,5,6,3,3,0,4,1,7,7
toronto_chicago_oct_26_19,Toronto Raptors,Matt Thomas,19:57:00,2-3,2-3,0-0,0,3,3,0,1,0,1,2,18,6
toronto_chicago_oct_26_19,Toronto Raptors,Terence Davis,11:59:00,0-1,0-0,4-4,0,3,3,2,0,1,1,1,-6,4
toronto_chicago_oct_26_19,Toronto Raptors,Chris Boucher,4:34:00,0-1,0-1,2-2,1,1,2,0,0,2,1,1,2,2
toronto_chicago_oct_26_19,Toronto Raptors,Stanley Johnson,4:45:00,1-2,0-1,0-0,1,1,2,0,1,0,3,2,-8,2
toronto_chicago_oct_26_19,Toronto Raptors,R. Hollis-Jefferson,3:59:00,0-0,0-0,1-2,0,0,0,0,0,0,0,1,2,1
toronto_chicago_oct_26_19,Toronto Raptors,Malcolm Miller,4:34:00,0-1,0-1,0-0,0,3,3,0,0,0,0,1,2,0
toronto_chicago_oct_26_19,Chicago Bulls,Wendell Carter Jr.,23:12:00,6-14,0-2,0-2,5,6,11,0,0,0,1,3,-19,12
toronto_chicago_oct_26_19,Chicago Bulls,Zach LaVine,30:15:00,4-13,1-4,2-3,1,0,1,4,0,0,2,2,-25,11
toronto_chicago_oct_26_19,Chicago Bulls,Lauri Markkanen,30:18:00,3-10,1-4,2-4,1,6,7,1,3,0,4,1,-21,9
